 ,Label,Area(Cell_1_ROI_1),Mean(Cell_1_ROI_1),IntDen(Cell_1_ROI_1),RawIntDen(Cell_1_ROI_1),Area(Cell_2_ROI_1),Mean(Cell_2_ROI_1),IntDen(Cell_2_ROI_1),RawIntDen(Cell_2_ROI_1),Area(Cell_3_ROI_1),Mean(Cell_3_ROI_1),IntDen(Cell_3_ROI_1),RawIntDen(Cell_3_ROI_1),Area(Cell_4_ROI_1),Mean(Cell_4_ROI_1),IntDen(Cell_4_ROI_1),RawIntDen(Cell_4_ROI_1),Area(Cell_5_ROI_1),Mean(Cell_5_ROI_1),IntDen(Cell_5_ROI_1),RawIntDen(Cell_5_ROI_1),Area(Cell_6_ROI_1),Mean(Cell_6_ROI_1),IntDen(Cell_6_ROI_1),RawIntDen(Cell_6_ROI_1),Area(Cell_7_ROI_1),Mean(Cell_7_ROI_1),IntDen(Cell_7_ROI_1),RawIntDen(Cell_7_ROI_1),Area(Cell_8_ROI_1),Mean(Cell_8_ROI_1),IntDen(Cell_8_ROI_1),RawIntDen(Cell_8_ROI_1),Area(Cell_9_ROI_1),Mean(Cell_9_ROI_1),IntDen(Cell_9_ROI_1),RawIntDen(Cell_9_ROI_1),Area(Cell_10_ROI_1),Mean(Cell_10_ROI_1),IntDen(Cell_10_ROI_1),RawIntDen(Cell_10_ROI_1),Area(Cell_11_ROI_1),Mean(Cell_11_ROI_1),IntDen(Cell_11_ROI_1),RawIntDen(Cell_11_ROI_1),Area(Cell_12_ROI_1),Mean(Cell_12_ROI_1),IntDen(Cell_12_ROI_1),RawIntDen(Cell_12_ROI_1)
1,JYY343-SC-timecourse-001_C1_Denom,3.7203,546.4890,2033.1287,173237,5.4925,545.5555,2996.4639,255320,3.2978,597.5623,1970.6691,167915,2.7932,466.5924,1303.2834,111049,3.9199,747.2784,2929.2278,249591,6.1028,557.3577,3401.4302,289826,3.4856,514.4108,1793.0431,152780,4.6123,698.1221,3219.9429,274362,7.0769,662.4047,4687.7549,399430,5.8211,551.3266,3209.3335,273458,4.3893,586.0775,2572.4734,219193,4.1194,752.8547,3101.2908,264252
2,JYY343-SC-timecourse-001_C1_Denom,3.4974,504.2248,1763.4563,150259,5.2343,533.5359,2792.6897,237957,3.1570,559.7695,1767.2002,150578,2.4176,490.2233,1185.1829,100986,3.8025,695.2963,2643.8643,225276,5.5981,537.2516,3007.6016,256269,3.0397,507.0000,1541.1040,131313,4.1898,655.3893,2745.9448,233974,6.5135,648.9459,4226.9365,360165,5.3047,514.4602,2729.0684,232536,4.1781,555.5197,2320.9919,197765,3.9785,721.9675,2872.3779,244747
3,JYY343-SC-timecourse-001_C1_Denom,3.2157,506.8175,1629.7703,138868,5.0817,542.0924,2754.7705,234726,2.9810,564.6811,1683.2987,143429,2.5702,463.2557,1190.6637,101453,3.6030,715.8306,2579.1277,219760,5.4221,534.9805,2900.7090,247161,2.8753,503.3878,1447.4146,123330,3.9433,669.9107,2641.6812,225090,6.6309,621.2283,4119.3047,350994,5.2695,496.4699,2616.1553,222915,3.9903,565.4382,2256.2556,192249,3.7203,732.3407,2724.5618,232152
4,JYY343-SC-timecourse-001_C1_Denom,3.1218,510.9925,1595.2191,135924,4.6827,478.8947,2242.5244,191079,2.8401,586.3553,1665.3307,141898,2.0773,448.3446,931.3426,79357,3.6617,695.4487,2546.5015,216980,5.2108,520.2207,2710.7834,230978,2.5115,502.9346,1263.1342,107628,4.1076,638.3771,2622.2227,223432,6.1028,618.5231,3774.7090,321632,5.0231,476.1916,2391.9368,203810,3.8260,571.9601,2188.3035,186459,3.6617,690.2468,2527.4536,215357
5,JYY343-SC-timecourse-001_C1_Denom,3.1218,519.0639,1620.4166,138071,4.6592,464.6952,2165.1248,184484,2.7697,569.1229,1576.3123,134313,2.1125,465.5778,983.5331,83804,3.4622,692.6813,2398.1687,204341,4.7766,539.9681,2579.2100,219767,2.6641,490.7093,1307.2971,111391,3.7203,640.7413,2383.7803,203115,5.8915,648.1833,3818.7898,325388,5.0817,473.6466,2406.9473,205089,3.8025,542.8087,2064.0298,175870,3.5326,683.1262,2413.1909,205621
6,JYY343-SC-timecourse-001_C1_Denom,3.2861,564.3750,1854.5990,158025,4.4363,462.9312,2053.6787,174988,2.8401,620.3306,1761.8250,150120,2.0186,526.3721,1062.5405,90536,3.8494,655.8964,2524.8364,215134,5.1756,536.0317,2774.2993,236390,2.8636,490.0738,1403.3807,119578,3.8142,656.5723,2504.3218,213386,6.1028,643.8346,3929.1797,334794,5.2460,481.1902,2524.3435,215092,4.0020,549.5777,2199.4177,187406,3.8142,701.6769,2676.3616,228045
7,JYY343-SC-timecourse-001_C1_Denom,3.1335,514.9663,1613.6683,137496,4.4832,474.9058,2129.0950,181414,2.9223,631.5582,1845.5974,157258,2.3590,512.1890,1208.2327,102950,3.7203,699.6530,2602.9521,221790,5.0348,549.8998,2768.6309,235907,3.1453,493.4702,1552.1007,132250,4.1311,642.3011,2653.4175,226090,6.3258,650.7718,4116.6289,350766,5.3047,480.0133,2546.3372,216966,3.9551,568.4600,2248.2986,191571,3.8612,726.7386,2806.0688,239097
8,JYY343-SC-timecourse-001_C1_Denom,3.3683,489.2997,1648.0903,140429,4.4128,468.7261,2068.3840,176241,2.9106,579.8750,1687.7584,143809,2.3472,478.6250,1123.4392,95725,3.5912,634.8562,2279.9272,194266,5.1052,548.6368,2800.9050,238657,2.8401,503.3512,1429.5874,121811,4.0255,614.7201,2474.5474,210849,6.0558,613.3488,3714.3384,316488,5.2460,496.1767,2602.9639,221791,3.9903,576.1118,2298.8459,195878,4.0255,686.4053,2763.1147,235437
9,JYY343-SC-timecourse-001_C1_Denom,3.2626,476.5971,1554.9644,132494,4.1546,452.6102,1880.4066,160224,2.7110,563.4286,1527.4784,130152,2.0656,444.5796,918.3038,78246,3.8260,637.6595,2439.6675,207877,4.9174,546.9093,2689.3884,229155,2.6758,455.0877,1217.7389,103760,4.3541,582.7601,2537.3943,216204,5.9972,649.3640,3894.3350,331825,4.9057,493.4521,2420.7256,206263,4.0842,549.4224,2243.9326,191199,3.8847,677.0121,2629.9568,224091
10,JYY343-SC-timecourse-001_C1_Denom,3.2978,487.8043,1608.7040,137073,4.0372,457.1366,1845.5621,157255,2.9223,540.6627,1579.9740,134625,2.3472,435.0400,1021.1356,87008,3.6617,639.2115,2340.5796,199434,5.0348,544.5967,2741.9312,233632,2.7228,479.6250,1305.9122,111273,4.3072,531.0327,2287.2390,194889,5.9150,659.5338,3901.1421,332405,4.6240,491.2462,2271.5361,193551,3.8964,565.1777,2202.1521,187639,3.7556,681.7500,2560.3501,218160
11,JYY343-SC-timecourse-001_C1_Denom,2.9575,471.5952,1394.7429,118842,4.0255,495.8134,1995.8900,170064,3.0749,555.0496,1706.7004,145423,2.1712,466.8811,1013.6831,86373,3.6499,620.4662,2264.6587,192965,4.9409,518.9952,2564.3052,218497,2.8519,469.6173,1339.2898,114117,4.1546,578.7429,2404.4358,204875,5.4456,706.6595,3848.1536,327890,4.7179,491.9403,2320.9333,197760,3.9316,544.4716,2140.6433,182398,3.8729,660.6940,2558.8125,218029
12,JYY343-SC-timecourse-001_C1_Denom,3.0044,470.2188,1412.7461,120376,4.1663,464.8141,1936.5640,165009,2.8988,535.5749,1552.5349,132287,1.7252,433.8640,748.5057,63778,3.3331,649.9859,2166.4392,184596,4.6827,479.1404,2243.6746,191177,2.8401,432.7355,1229.0291,104722,4.0490,586.8145,2375.9875,202451,5.5042,671.1450,3694.1404,314767,4.7179,461.0398,2175.1475,185338,3.7673,561.7539,2116.2908,180323,3.5091,647.3846,2271.7356,193568
13,JYY343-SC-timecourse-001_C1_Denom,3.0279,459.3295,1390.8113,118507,4.3893,530.8984,2330.2754,198556,2.7110,527.0649,1428.8950,121752,1.6783,536.7832,900.8639,76760,3.4269,610.3151,2091.5159,178212,4.4715,480.0604,2146.5698,182903,2.5585,452.5367,1157.8026,98653,3.9433,563.6518,2222.6670,189387,5.5042,647.1088,3561.8394,303494,4.5771,491.6282,2250.2231,191735,3.1688,630.7111,1998.5658,170292,3.6147,652.9578,2360.2610,201111
